PLOD2	TIMP1	HLA-DRA	FN1	ANXA1	HLA-DPB1	VIM	LGALS1	HMOX1	C1S	P4HA1	VEGFA	IGFBP3	CCND1	HPCAL1	LIPA	ARHGDIB	PFKP	GPNMB	PLIN2	RARRES2	MYOF
10.30399418	10.91421613	10.8716881	13.27886328	14.40702273	13.02352675	16.90477106	16.04552649	11.7226762	12.54259403	12.12204571	10.0391369	11.27567071	8.049657492	13.08827609	11.75287136	15.10752147	12.89891768	13.80814963	9.921633538	9.445468453	12.28698554
9.846632693	12.03932964	11.73708285	13.94949584	14.82030434	14.63083892	17.08881012	16.53063392	12.62493081	10.88318267	12.11084174	10.54522749	11.93593255	6.461103898	13.5600178	11.28027153	15.48311864	11.60565647	11.99476841	10.15880723	9.237578709	12.3975306
11.38134836	13.32369869	13.78008475	14.86632463	16.66350067	15.65157256	18.07464845	17.49785132	14.31654516	13.40067092	13.36646181	10.23539618	11.2478418	7.153147868	13.40729367	13.39512011	17.63245988	13.11524421	14.20490944	12.63028175	9.760871582	13.58992465
9.335369887	10.24211807	12.06136611	13.75307069	14.71465717	15.31978788	17.16234696	16.50238834	13.25775419	12.6879494	11.99736237	9.528752914	11.65093667	7.308621319	13.71910651	12.22195848	15.35793065	11.85934563	13.05833633	10.83846949	10.56681971	11.95672295
9.15296333	12.24484939	12.33094768	14.23050217	14.46888645	15.37340347	17.17486783	16.81667486	13.25158458	12.04852993	12.06770937	10.67631995	11.99558508	7.864455018	14.25829717	12.05698727	15.48068501	12.0068092	13.53355915	10.61433189	10.81334226	11.22245407
8.968908966	12.29224535	12.28410562	13.6283279	15.45845287	15.88059422	17.50693878	16.78780113	13.06435181	12.25230332	11.9919612	10.12904946	11.8483531	6.13641163	14.11675114	11.97163384	16.14583269	11.95773572	13.31392522	9.629342787	10.65454538	12.48942892
10.22694857	14.47289442	13.58874535	13.82509539	16.16983569	16.5882516	18.44871978	17.79497749	13.59163692	12.01026979	12.75446719	10.56526143	11.83206176	8.661890799	14.3925421	12.20121824	16.70920386	12.43072777	13.1997794	10.64913891	11.2353511	12.93319116
9.975059709	12.45536894	11.67854446	15.76240734	15.68237604	14.57703719	17.76732708	17.09139208	13.42600242	11.99234143	12.29215593	10.32973258	12.04297266	7.474738059	13.01956164	12.08223534	16.18617563	12.94967964	13.46573175	10.26775658	10.22991643	12.78030268
8.50823826	11.96506635	11.92213564	13.31142545	14.45575123	13.89047625	16.79505147	16.73984684	12.86558955	9.045630327	11.89161999	10.09855275	11.86679979	7.612047075	13.9846313	11.5615957	15.355927	10.89516196	12.56683368	9.98332063	10.09187718	11.63234822
10.89710668	12.97628824	14.58524066	15.19990559	16.71461958	16.77757365	19.11413943	17.9555277	14.42643732	14.22509616	13.11006881	12.25957594	13.08028727	8.492853096	15.12972633	12.90399831	17.31824989	14.24555394	14.31633869	12.64116001	11.63073126	13.96556993
14.69275106	13.61265404	11.77736605	15.16915878	15.86957142	13.48863906	16.60601462	17.01892672	10.58003719	13.94199719	13.43312228	10.390015	14.68280165	11.07298613	11.61063633	12.18686544	16.71942699	13.20703704	14.23146001	12.40571928	9.507942426	11.11319415
12.94516068	10.23521411	14.86133349	14.4858234	15.68471208	16.85576531	19.73657518	18.00533066	14.190832	11.25227002	14.25262318	12.50198941	13.49712678	11.48561871	15.00452758	13.19643508	17.08574208	17.83376831	13.68196525	16.77321122	10.04202671	13.38749229
11.90076393	9.773732482	14.01170226	14.85179226	16.01121095	16.64666408	18.99429865	17.33502025	13.49383728	10.97383926	13.91546437	11.59561538	12.47062972	10.10494762	15.41304721	12.21572411	16.69978814	16.50947834	11.56116235	15.36646131	8.597982166	13.62675833
11.39995724	11.5505385	13.05396014	15.98360272	16.7027743	14.06487724	18.83381167	17.60610761	12.38251251	12.68152919	12.77347487	13.38119543	13.29491613	9.900691518	14.49733555	11.7974493	16.95870017	16.25882173	12.00931836	15.97321307	10.52925871	13.1297502
11.76954859	11.81704226	14.34509951	15.85735199	16.59397016	15.74105838	19.17336985	18.01421783	12.00361431	13.04947833	12.97778609	10.68101857	12.62701798	8.903395999	13.80816804	12.49258137	16.80574107	15.74628075	14.2210632	15.71568725	10.57883838	13.58486972
13.04752433	11.16245625	12.62980672	15.53082906	16.3970092	14.60096858	18.77157191	17.29517706	13.6204707	12.28432249	12.5981327	11.96214885	12.5246177	7.529353667	14.37053024	12.18460736	16.23342524	16.23467822	12.46899803	15.27165464	8.995404115	12.86792507
15.53898066	13.38770259	15.24823756	16.89744907	16.84690777	16.50569315	18.56207653	18.49120204	14.81129406	12.90624069	13.76315595	10.8199761	12.84318622	8.619951117	13.21335119	12.88538502	18.03238676	14.98874129	14.5336054	11.85228837	9.822860896	12.89860349
15.93124233	14.47475688	13.5026832	15.32463999	18.06347777	17.23871384	19.23097542	18.10654633	11.97101541	12.78236362	14.2341973	10.6999151	13.10944273	10.31715371	15.38030284	13.27785551	17.66700244	16.01550689	14.9082247	14.7159567	9.228644313	14.38015964
14.52693777	12.43667681	13.75026821	15.80883635	17.38290773	15.03041233	19.47825729	18.30994984	13.76103984	12.61963439	14.36215714	11.84918567	12.58790051	10.91938181	15.75477398	13.75186197	17.17584748	17.16111312	16.84859325	16.43136549	10.80260295	14.8915258
12.52962786	12.12089082	13.38288694	15.71436814	17.44485272	14.78221508	18.88205737	17.78758889	13.59884583	12.96891195	13.70430846	10.99161562	14.20053818	5.042138169	15.20011371	12.87813416	17.16546289	16.64698623	14.86147572	15.5021715	10.04176361	13.68903344
